City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Isangel,VU,-19.55,169.2667,75.31,94,90,13.8,overcast clouds
274,Leningradskiy,RU,69.3833,178.4167,19.74,72,15,10.25,few clouds
275,Canelones,UY,-34.6444,-56.2886,58.42,72,100,5.01,overcast clouds
276,Alyangula,AU,-13.8483,136.4192,82.8,62,89,10.18,overcast clouds
277,Queimados,BR,-22.7161,-43.5553,70.54,93,100,2.39,overcast clouds
278,Diplo,PK,24.4667,69.584,81.61,83,21,9.22,few clouds
279,La Ligua,CL,-32.4524,-71.2311,49.21,87,12,2.55,few clouds
280,Rundu,NA,-17.9333,19.7667,64.56,17,4,5.44,clear sky
281,Rottingdean,GB,50.8098,-0.0594,57.43,91,100,13.0,light rain
282,San Policarpo,PH,12.1791,125.5072,82.51,80,93,4.97,overcast clouds
283,Takoradi,GH,4.8845,-1.7554,76.33,91,99,7.0,light rain
284,Ahipara,NZ,-35.1667,173.1667,64.51,64,100,15.32,overcast clouds
285,Ostrovskoye,RU,57.8057,42.2433,43.02,85,100,1.59,overcast clouds
286,Dunedin,NZ,-45.8742,170.5036,50.31,81,96,5.3,light rain
287,Batsfjord,NO,70.6345,29.7185,49.78,87,98,23.64,overcast clouds
288,Summerside,CA,46.3959,-63.7876,50.47,76,84,9.35,broken clouds
289,Namibe,AO,-15.1961,12.1522,59.18,87,3,5.59,clear sky
290,Pitimbu,BR,-7.4706,-34.8086,76.82,84,8,10.36,clear sky
291,Batouri,CM,4.4333,14.3667,67.42,98,85,0.98,overcast clouds
292,Rumonge,BI,-3.9736,29.4386,74.95,70,87,0.63,overcast clouds
293,Luwuk,ID,-0.9516,122.7875,82.2,76,100,2.44,overcast clouds
294,Saint Anthony,US,45.0205,-93.218,68.56,94,75,4.61,mist
295,Cabo San Lucas,MX,22.8909,-109.9124,86.5,71,100,6.69,overcast clouds
296,Kavaratti,IN,10.5669,72.642,80.73,82,98,15.39,overcast clouds
297,Cayenne,GF,4.9333,-52.3333,83.08,78,20,4.0,few clouds
298,Koroni,GR,36.8,21.95,66.07,61,41,4.21,scattered clouds
299,Laela,TZ,-8.5667,32.05,66.79,45,29,2.93,scattered clouds
300,Zhigansk,RU,66.7697,123.3711,28.4,81,18,9.82,few clouds
301,Marechal Deodoro,BR,-9.7103,-35.895,78.21,90,13,7.81,few clouds
302,Quatre Cocos,MU,-20.2078,57.7625,71.1,74,56,13.24,light rain
303,Korla,CN,41.7597,86.1469,50.52,39,100,13.15,overcast clouds
304,Griffith,US,41.5284,-87.4237,70.99,94,40,1.01,scattered clouds
305,Salalah,OM,17.0151,54.0924,78.84,85,100,6.73,overcast clouds
306,Oruro,BO,-17.9833,-67.15,55.8,10,3,16.33,clear sky
307,Asfi,MA,32.2994,-9.2372,66.69,87,39,11.3,scattered clouds
308,Emerald,AU,-23.5333,148.1667,80.35,28,0,5.3,clear sky
309,Manavgat,TR,36.7867,31.4431,72.01,36,0,6.35,clear sky
310,Brigantine,US,39.4101,-74.3646,71.02,87,99,12.21,overcast clouds
311,Doha,QA,25.2867,51.5333,85.98,79,0,5.75,clear sky
312,Novoraychikhinsk,RU,49.7798,129.594,43.68,82,88,10.49,overcast clouds
313,Ossora,RU,59.2353,163.0719,46.6,84,100,8.52,overcast clouds
