City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Nouadhibou,MR,74.1,broken clouds,20.931,-17.0347,El Medina
387,Kiama,AU,70.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
388,Pimentel,PE,63.18,scattered clouds,-6.8367,-79.9342,Casona Del Muelle
389,Sechura,PE,66.04,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
390,Hambantota,LK,78.55,broken clouds,6.1241,81.1185,Bungalow 63
391,Pong,TH,73.6,overcast clouds,19.1493,100.2752,999 Hotel
392,Plettenberg Bay,ZA,50.14,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
393,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
394,Yambio,SS,67.59,overcast clouds,4.5721,28.3955,Naivasha Hotel
395,Bassar,TG,72.68,broken clouds,9.25,0.7833,Hôtel KYRIAD
396,Ambulu,ID,78.01,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
397,Glens Falls,US,66.81,overcast clouds,43.3095,-73.644,Super 8 by Wyndham Queensbury Glens Falls/Lake George Area
398,Yilan,TW,86.11,broken clouds,24.757,121.753,Dar Chen Hotel
401,Muros,ES,63.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
404,Bilma,NE,82.11,clear sky,18.6853,12.9164,Expeditions Ténére voyages
405,Athabasca,CA,57.11,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
406,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
407,Areosa,PT,67.68,moderate rain,41.7178,-8.8571,Hotel Flôr de Sal
409,The Valley,AI,84.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
410,Beachwood,US,70.03,overcast clouds,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
411,Esmeraldas,BR,72.46,heavy intensity rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
413,Banff,CA,56.91,overcast clouds,51.1762,-115.5698,Banff Aspen Lodge
414,Kampong Thum,KH,75.72,overcast clouds,12.7111,104.8887,Sambor Village Hotel
416,El Alto,PE,62.49,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
420,Basco,PH,83.68,broken clouds,20.4487,121.9702,Nathaniel's Lodge
422,Isabela,PH,83.43,overcast clouds,6.7085,121.9711,Isawad Resort
424,Anaconda,US,69.78,scattered clouds,46.1285,-112.9423,Trade Wind Motel
425,Huadian,CN,60.67,overcast clouds,42.9633,126.7478,Huadian Forestry Bureau
426,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
429,Santa Cruz Cabralia,BR,75.27,clear sky,-16.2781,-39.0247,Puerto Princesa Inn
430,Ambon,ID,82.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
433,Dambulla,LK,72.14,scattered clouds,7.86,80.6517,Tinaya Treats
434,Riyadh,SA,77.14,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
435,Hoi An,VN,80.56,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
436,Honolulu,US,84.88,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
437,Chicama,PE,59.54,few clouds,-7.8447,-79.1469,Balihai Bungalows
438,Esperance,AU,51.64,broken clouds,-33.8667,121.9,Hospitality Esperance
439,Tairua,NZ,62.29,overcast clouds,-37.0167,175.85,Pacific Harbour Villas
440,Sistranda,NO,54.9,broken clouds,63.7256,8.834,Hotell Frøya
442,Guane,CU,78.91,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
445,Almargem Do Bispo,PT,66.56,broken clouds,38.8491,-9.2668,Villa Cerrado das Fontainhas
446,Mega,ET,63.05,broken clouds,4.05,38.3,Amanuel Guest House
448,Berlevag,NO,50.0,overcast clouds,70.8578,29.0864,Kvitbrakka
451,Sumbe,AO,71.38,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
453,Sharjah,AE,87.3,overcast clouds,25.3573,55.4033,Swiss Belhotel Sharjah
454,Kailua,US,87.78,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
455,Vao,NC,72.12,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
456,Le Moule,GP,80.19,scattered clouds,16.3332,-61.3473,Lakaz Hananou
459,Zhicheng,CN,80.49,clear sky,30.2956,111.5047,Wangjiang Building
460,Kashi,CN,63.27,broken clouds,39.4547,75.9797,帕米尔青年旅舍
